Season,Team,Date,Next Day,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Time Fixed,Query,Query2
2021/2022,Tottenham,2021-12-28,2021-12-29,15:00 ,Matchweek 20,Tue,Away,D,1,1,Southampton,2.4,0.4,64,"31,304",Hugo Lloris,3/4/2003,Anthony Taylor,Match Report,,12-28-2021 15:00 ,Tottenham until:2021-12-28,Tottenham until:2021-12-29
2021/2022,Arsenal,2021-12-26,2021-12-27,15:00 ,Matchweek 19,Sun,Away,W,5,0,Norwich City,2.5,0.1,64,"26,940",Alexandre Lacazette,4-2-3-1,Graham Scott,Match Report,,12-26-2021 15:00 ,Arsenal until:2021-12-26,Arsenal until:2021-12-27
2021/2022,Tottenham,2021-12-26,2021-12-27,15:00 ,Matchweek 19,Sun,Home,W,3,0,Crystal Palace,2.5,0.2,60,"40,539",Hugo Lloris,3/4/2003,Jonathan Moss,Match Report,,12-26-2021 15:00 ,Tottenham until:2021-12-26,Tottenham until:2021-12-27
2021/2022,Tottenham,2021-12-19,2021-12-20,16:30 ,Matchweek 18,Sun,Home,D,2,2,Liverpool,3.4,1.5,43,"45,421",Hugo Lloris,3/5/2002,Paul Tierney,Match Report,,12-19-2021 16:30 ,Tottenham until:2021-12-19,Tottenham until:2021-12-20
2021/2022,Arsenal,2021-12-18,2021-12-19,17:30 ,Matchweek 18,Sat,Away,W,4,1,Leeds United,3.2,1.6,49,"36,166",Alexandre Lacazette,4-2-3-1,Andre Marriner,Match Report,,12-18-2021 17:30 ,Arsenal until:2021-12-18,Arsenal until:2021-12-19
2021/2022,Arsenal,2021-12-15,2021-12-16,20:00 ,Matchweek 17,Wed,Home,W,2,0,West Ham,2.7,0.3,55,"59,777",Alexandre Lacazette,4-4-1-1,Anthony Taylor,Match Report,,12-15-2021 20:00 ,Arsenal until:2021-12-15,Arsenal until:2021-12-16
2021/2022,Arsenal,2021-12-11,2021-12-12,15:00 ,Matchweek 16,Sat,Home,W,3,0,Southampton,1.5,0.6,61,"59,653",Alexandre Lacazette,4-4-1-1,Jarred Gillett,Match Report,,12-11-2021 15:00 ,Arsenal until:2021-12-11,Arsenal until:2021-12-12
2021/2022,Arsenal,2021-12-06,2021-12-07,20:00 ,Matchweek 15,Mon,Away,L,1,2,Everton,1.2,1,63,"38,906",Alexandre Lacazette,4-2-3-1,Mike Dean,Match Report,,12-06-2021 20:00 ,Arsenal until:2021-12-06,Arsenal until:2021-12-07
2021/2022,Tottenham,2021-12-05,2021-12-06,14:00 ,Matchweek 15,Sun,Home,W,3,0,Norwich City,1.7,1.6,41,"57,088",Hugo Lloris,3/4/2003,Jarred Gillett,Match Report,,12-05-2021 14:00 ,Tottenham until:2021-12-05,Tottenham until:2021-12-06
2021/2022,Arsenal,2021-12-02,2021-12-03,20:15 ,Matchweek 14,Thu,Away,L,2,3,Manchester Utd,1.5,1.9,55,"73,123",Pierre-Emerick Aubameyang,4-4-1-1,Martin Atkinson,Match Report,,12-02-2021 20:15 ,Arsenal until:2021-12-02,Arsenal until:2021-12-03
2021/2022,Tottenham,2021-12-02,2021-12-03,19:30 ,Matchweek 14,Thu,Home,W,2,0,Brentford,2.4,0.3,47,"54,202",Hugo Lloris,3/4/2003,Jonathan Moss,Match Report,,12-02-2021 19:30 ,Tottenham until:2021-12-02,Tottenham until:2021-12-03
2021/2022,Arsenal,2021-11-27,2021-11-28,12:30 ,Matchweek 13,Sat,Home,W,2,0,Newcastle Utd,2,0.2,65,"59,886",Pierre-Emerick Aubameyang,4-4-1-1,Stuart Attwell,Match Report,,11-27-2021 12:30 ,Arsenal until:2021-11-27,Arsenal until:2021-11-28
2021/2022,Tottenham,2021-11-21,2021-11-22,16:30 ,Matchweek 12,Sun,Home,W,2,1,Leeds United,2,1.1,43,"58,989",Hugo Lloris,3/4/2003,Andre Marriner,Match Report,,11-21-2021 16:30 ,Tottenham until:2021-11-21,Tottenham until:2021-11-22
2021/2022,Arsenal,2021-11-20,2021-11-21,17:30 ,Matchweek 12,Sat,Away,L,0,4,Liverpool,0.4,4.3,37,"53,092",Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,,11-20-2021 17:30 ,Arsenal until:2021-11-20,Arsenal until:2021-11-21
2021/2022,Arsenal,2021-11-07,2021-11-08,14:00 ,Matchweek 11,Sun,Home,W,1,0,Watford,1.7,0.7,60,"59,833",Pierre-Emerick Aubameyang,4-4-1-1,Kevin Friend,Match Report,,11-07-2021 14:00 ,Arsenal until:2021-11-07,Arsenal until:2021-11-08
2021/2022,Tottenham,2021-11-07,2021-11-08,14:00 ,Matchweek 11,Sun,Away,D,0,0,Everton,0.8,0.5,56,"39,059",Hugo Lloris,3/4/2003,Chris Kavanagh,Match Report,,11-07-2021 14:00 ,Tottenham until:2021-11-07,Tottenham until:2021-11-08
2021/2022,Arsenal,2021-10-30,2021-10-31,12:30 ,Matchweek 10,Sat,Away,W,2,0,Leicester City,0.9,1.2,36,"32,209",Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,,10-30-2021 12:30 ,Arsenal until:2021-10-30,Arsenal until:2021-10-31
2021/2022,Tottenham,2021-10-30,2021-10-31,17:30 ,Matchweek 10,Sat,Home,L,0,3,Manchester Utd,0.7,1.2,58,"60,356",Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,,10-30-2021 17:30 ,Tottenham until:2021-10-30,Tottenham until:2021-10-31
2021/2022,Tottenham,2021-10-24,2021-10-25,14:00 ,Matchweek 9,Sun,Away,L,0,1,West Ham,0.7,1.2,61,"59,924",Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,,10-24-2021 14:00 ,Tottenham until:2021-10-24,Tottenham until:2021-10-25
2021/2022,Arsenal,2021-10-22,2021-10-23,20:00 ,Matchweek 9,Fri,Home,W,3,1,Aston Villa,2.7,1.4,54,"59,496",Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,,10-22-2021 20:00 ,Arsenal until:2021-10-22,Arsenal until:2021-10-23
2021/2022,Arsenal,2021-10-18,2021-10-19,20:00 ,Matchweek 8,Mon,Home,D,2,2,Crystal Palace,1.4,0.9,55,"59,475",Pierre-Emerick Aubameyang,4-1-4-1,Mike Dean,Match Report,,10-18-2021 20:00 ,Arsenal until:2021-10-18,Arsenal until:2021-10-19
2021/2022,Tottenham,2021-10-17,2021-10-18,16:30 ,Matchweek 8,Sun,Away,W,3,2,Newcastle Utd,1.6,0.5,63,"52,214",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,10-17-2021 16:30 ,Tottenham until:2021-10-17,Tottenham until:2021-10-18
2021/2022,Tottenham,2021-10-03,2021-10-04,14:00 ,Matchweek 7,Sun,Home,W,2,1,Aston Villa,1.7,1.1,58,"53,076",Hugo Lloris,4-2-3-1,Chris Kavanagh,Match Report,,10-03-2021 14:00 ,Tottenham until:2021-10-03,Tottenham until:2021-10-04
2021/2022,Arsenal,2021-10-02,2021-10-03,17:30 ,Matchweek 7,Sat,Away,D,0,0,Brighton,0.5,1.4,41,"31,266",Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,,10-02-2021 17:30 ,Arsenal until:2021-10-02,Arsenal until:2021-10-03
2021/2022,Arsenal,2021-09-26,2021-09-27,16:30 ,Matchweek 6,Sun,Home,W,3,1,Tottenham,0.8,1,46,"59,919",Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,,09-26-2021 16:30 ,Arsenal until:2021-09-26,Arsenal until:2021-09-27
2021/2022,Tottenham,2021-09-26,2021-09-27,16:30 ,Matchweek 6,Sun,Away,L,1,3,Arsenal,1,0.8,54,"59,919",Hugo Lloris,4/3/2003,Craig Pawson,Match Report,,09-26-2021 16:30 ,Tottenham until:2021-09-26,Tottenham until:2021-09-27
2021/2022,Tottenham,2021-09-19,2021-09-20,16:30 ,Matchweek 5,Sun,Home,L,0,3,Chelsea,0.7,1.9,47,"60,059",Hugo Lloris,4-3-2-1,Paul Tierney,Match Report,,09-19-2021 16:30 ,Tottenham until:2021-09-19,Tottenham until:2021-09-20
2021/2022,Arsenal,2021-09-18,2021-09-19,15:00 ,Matchweek 5,Sat,Away,W,1,0,Burnley,1.2,1.3,54,"20,000",Pierre-Emerick Aubameyang,4-1-4-1,Anthony Taylor,Match Report,,09-18-2021 15:00 ,Arsenal until:2021-09-18,Arsenal until:2021-09-19
2021/2022,Arsenal,2021-09-11,2021-09-12,15:00 ,Matchweek 4,Sat,Home,W,1,0,Norwich City,2.8,0.6,52,"58,000",Pierre-Emerick Aubameyang,4-2-3-1,Michael Oliver,Match Report,,09-11-2021 15:00 ,Arsenal until:2021-09-11,Arsenal until:2021-09-12
2021/2022,Tottenham,2021-09-11,2021-09-12,12:30 ,Matchweek 4,Sat,Away,L,0,3,Crystal Palace,0.1,2.4,38,"26,000",Hugo Lloris,4-4-2◆,Jonathan Moss,Match Report,,09-11-2021 12:30 ,Tottenham until:2021-09-11,Tottenham until:2021-09-12
2021/2022,Tottenham,2021-08-29,2021-08-30,14:00 ,Matchweek 3,Sun,Home,W,1,0,Watford,0.9,0.6,56,"57,672",Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,08-29-2021 14:00 ,Tottenham until:2021-08-29,Tottenham until:2021-08-30
2021/2022,Arsenal,2021-08-28,2021-08-29,12:30 ,Matchweek 3,Sat,Away,L,0,5,Manchester City,0.1,3.8,20,"52,276",Pierre-Emerick Aubameyang,3/4/2003,Martin Atkinson,Match Report,,08-28-2021 12:30 ,Arsenal until:2021-08-28,Arsenal until:2021-08-29
2021/2022,Arsenal,2021-08-22,2021-08-23,16:30 ,Matchweek 2,Sun,Home,L,0,2,Chelsea,0.3,2.9,35,"58,729",Granit Xhaka,4-2-3-1,Paul Tierney,Match Report,,08-22-2021 16:30 ,Arsenal until:2021-08-22,Arsenal until:2021-08-23
2021/2022,Tottenham,2021-08-22,2021-08-23,14:00 ,Matchweek 2,Sun,Away,W,1,0,Wolves,1.5,1.4,43,"30,368",Hugo Lloris,4/3/2003,Stuart Attwell,Match Report,,08-22-2021 14:00 ,Tottenham until:2021-08-22,Tottenham until:2021-08-23
2021/2022,Tottenham,2021-08-15,2021-08-16,16:30 ,Matchweek 1,Sun,Home,W,1,0,Manchester City,1.3,1.9,36,"58,262",Hugo Lloris,4/3/2003,Anthony Taylor,Match Report,,08-15-2021 16:30 ,Tottenham until:2021-08-15,Tottenham until:2021-08-16
2021/2022,Arsenal,2021-08-13,2021-08-14,20:00 ,Matchweek 1,Fri,Away,L,0,2,Brentford,1.4,1.3,66,"16,479",Granit Xhaka,4-2-3-1,Michael Oliver,Match Report,,08-13-2021 20:00 ,Arsenal until:2021-08-13,Arsenal until:2021-08-14
2020/2021,Arsenal,2021-05-23,2021-05-24,16:00 ,Matchweek 38,Sun,Home,W,2,0,Brighton,1.1,0.4,55,"10,000",Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,,05-23-2021 16:00 ,Arsenal until:2021-05-23,Arsenal until:2021-05-24
2020/2021,Tottenham,2021-05-23,2021-05-24,16:00 ,Matchweek 38,Sun,Away,W,4,2,Leicester City,1.9,1.9,54,"8,000",Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,05-23-2021 16:00 ,Tottenham until:2021-05-23,Tottenham until:2021-05-24
2020/2021,Arsenal,2021-05-19,2021-05-20,19:00 ,Matchweek 37,Wed,Away,W,3,1,Crystal Palace,1.3,1,67,"6,500",Pierre-Emerick Aubameyang,4-2-3-1,Anthony Taylor,Match Report,,05-19-2021 19:00 ,Arsenal until:2021-05-19,Arsenal until:2021-05-20
2020/2021,Tottenham,2021-05-19,2021-05-20,18:00 ,Matchweek 37,Wed,Home,L,1,2,Aston Villa,1.1,2,61,"10,000",Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,05-19-2021 18:00 ,Tottenham until:2021-05-19,Tottenham until:2021-05-20
2020/2021,Tottenham,2021-05-16,2021-05-17,14:05 ,Matchweek 36,Sun,Home,W,2,0,Wolves,3,1.2,62,,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,,05-16-2021 14:05 ,Tottenham until:2021-05-16,Tottenham until:2021-05-17
2020/2021,Arsenal,2021-05-12,2021-05-13,20:15 ,Matchweek 36,Wed,Away,W,1,0,Chelsea,0.8,2.1,33,,Pierre-Emerick Aubameyang,3/4/2003,Andre Marriner,Match Report,,05-12-2021 20:15 ,Arsenal until:2021-05-12,Arsenal until:2021-05-13
2020/2021,Arsenal,2021-05-09,2021-05-10,19:00 ,Matchweek 35,Sun,Home,W,3,1,West Brom,0.9,1.3,65,,Rob Holding,4-2-3-1,Peter Bankes,Match Report,,05-09-2021 19:00 ,Arsenal until:2021-05-09,Arsenal until:2021-05-10
2020/2021,Tottenham,2021-05-08,2021-05-09,12:30 ,Matchweek 35,Sat,Away,L,1,3,Leeds United,1,2.6,48,,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,,05-08-2021 12:30 ,Tottenham until:2021-05-08,Tottenham until:2021-05-09
2020/2021,Arsenal,2021-05-02,2021-05-03,14:00 ,Matchweek 34,Sun,Away,W,2,0,Newcastle Utd,1.9,0.2,61,,Pierre-Emerick Aubameyang,4-2-3-1,Mike Dean,Match Report,,05-02-2021 14:00 ,Arsenal until:2021-05-02,Arsenal until:2021-05-03
2020/2021,Tottenham,2021-05-02,2021-05-03,19:15 ,Matchweek 34,Sun,Home,W,4,0,Sheffield Utd,2,0.5,66,,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,,05-02-2021 19:15 ,Tottenham until:2021-05-02,Tottenham until:2021-05-03
2020/2021,Arsenal,2021-04-23,2021-04-24,20:00 ,Matchweek 33,Fri,Home,L,0,1,Everton,0.9,0.8,59,,Rob Holding,4-2-3-1,Jonathan Moss,Match Report,,04-23-2021 20:00 ,Arsenal until:2021-04-23,Arsenal until:2021-04-24
2020/2021,Tottenham,2021-04-21,2021-04-22,18:00 ,Matchweek 29,Wed,Home,W,2,1,Southampton,1.8,0.8,62,,Hugo Lloris,4-2-3-1,David Coote,Match Report,,04-21-2021 18:00 ,Tottenham until:2021-04-21,Tottenham until:2021-04-22
2020/2021,Arsenal,2021-04-18,2021-04-19,13:30 ,Matchweek 32,Sun,Home,D,1,1,Fulham,2.9,0.9,71,,Héctor Bellerín,4-2-3-1,Craig Pawson,Match Report,,04-18-2021 13:30 ,Arsenal until:2021-04-18,Arsenal until:2021-04-19
2020/2021,Tottenham,2021-04-16,2021-04-17,20:00 ,Matchweek 32,Fri,Away,D,2,2,Everton,1.2,2.3,48,,Hugo Lloris,3-4-1-2,Michael Oliver,Match Report,,04-16-2021 20:00 ,Tottenham until:2021-04-16,Tottenham until:2021-04-17
2020/2021,Arsenal,2021-04-11,2021-04-12,19:00 ,Matchweek 31,Sun,Away,W,3,0,Sheffield Utd,2.2,0.5,55,,Alexandre Lacazette,4-2-3-1,Peter Bankes,Match Report,,04-11-2021 19:00 ,Arsenal until:2021-04-11,Arsenal until:2021-04-12
2020/2021,Tottenham,2021-04-11,2021-04-12,16:30 ,Matchweek 31,Sun,Home,L,1,3,Manchester Utd,1,1.9,47,,Hugo Lloris,4/3/2003,Chris Kavanagh,Match Report,,04-11-2021 16:30 ,Tottenham until:2021-04-11,Tottenham until:2021-04-12
